LOCATION,TIME,UE,CPI,c_ue,c_cpi
DNK,1998-01-01,4.866667,72.28591,-7.154212581608103,1.8456536116323463
DNK,1999-01-01,5.166667,74.09146,6.164383139425827,2.4977896798975023
DNK,2000-01-01,4.325,76.24255,-16.290327981269165,2.90329006878795
DNK,2001-01-01,4.525,78.025,4.624277456647403,2.3378677654407043
DNK,2002-01-01,4.583333,79.91666,1.2891270718231889,2.42442806792693
DNK,2003-01-01,5.408333,81.575,18.000001309091008,2.075086721592231
DNK,2004-01-01,5.5,82.51667,1.6949215220290645,1.1543610174685897
DNK,2005-01-01,4.841667,84.01667,-11.969690909090906,1.8178145094803266
DNK,2006-01-01,3.908333,85.63333,-19.277120875929725,1.9242133733698275
DNK,2007-01-01,3.75,87.08334,-4.051164524619572,1.693277605810735
DNK,2008-01-01,3.708333,90.05833,-1.1111199999999972,3.416256197798558
DNK,2009-01-01,6.408333,91.23333,72.80899530867373,1.3047099585346489
DNK,2010-01-01,7.766667,93.34167,21.196370413335263,2.310931761451652
DNK,2011-01-01,7.758333,95.91666,-0.10730471642468538,2.7586714486681028
DNK,2012-01-01,7.8,98.21667,0.537061247564386,2.3979254490304402
DNK,2013-01-01,7.391667,98.99167,-5.235038461538459,0.7890717532980966
DNK,2014-01-01,6.883333,99.55,-6.877122576003487,0.5640171541706469
DNK,2015-01-01,6.3,100.0,-8.474571838962323,0.45203415369161515
DNK,2016-01-01,6.008333,100.25,-4.629634920634912,0.25
DNK,2017-01-01,5.816667,101.4,-3.1900029509016985,1.1471321695760655
DNK,2018-01-01,5.116667,102.225,-12.03438326450526,0.81360946745561
DNK,2019-01-01,5.058333,103.0,-1.1400781016235657,0.7581315725116221
DNK,2020-01-01,5.641667,103.4333,11.53213914544574,0.42067961165048806
EA19,1992-01-01,8.50725,63.83337,8.508807296597894,3.770491883228518
EA19,1993-01-01,10.16667,65.99258,19.505950806664888,3.3825724695406203
EA19,1994-01-01,10.85833,67.86114,6.803210884193158,2.83146984100334
EA19,1995-01-01,10.65,69.59326,-1.9186191615101045,2.5524475421426676
EA19,1996-01-01,10.78333,71.23,1.2519248826290992,2.3518656835446468
EA19,1997-01-01,10.75833,72.44,-0.23183932978030516,1.6987224484065615
EA19,1998-01-01,10.55,73.33,-1.9364529624951095,1.228602981778024
EA19,1999-01-01,9.816667,74.19,-6.951023696682465,1.1727805809354963
EA19,2000-01-01,8.883333,75.81,-9.507646536242905,2.1835826930853277
EA19,2001-01-01,8.308333,77.64,-6.472795740067394,2.413929560743963
EA19,2002-01-01,8.6,79.4,3.5105357476644277,2.2668727460072193
EA19,2003-01-01,9.066667,81.08,5.426360465116291,2.1158690176322326
EA19,2004-01-01,9.283334,82.85,2.3897094709665554,2.183029107054756
EA19,2005-01-01,9.141666,84.67,-1.5260465690451215,2.196741098370558
EA19,2006-01-01,8.408334,86.53,-8.021863848449513,2.196763906932797
EA19,2007-01-01,7.508333,88.41,-10.703678041333749,2.1726568820062355
EA19,2008-01-01,7.6,91.37,1.2208701984847938,3.348037552313096
EA19,2009-01-01,9.658334,91.65,27.083342105263164,0.3064463171719395
EA19,2010-01-01,10.24167,93.13,6.039716580519986,1.614839061647561
EA19,2011-01-01,10.25,95.67,0.0813343917544779,2.7273703425319513
EA19,2012-01-01,11.45,98.06,11.707317073170724,2.498170795442668
EA19,2013-01-01,12.075,99.38,5.458515283842795,1.3461146236997688
EA19,2014-01-01,11.65,99.81,-3.519668737060033,0.4326826323203933
EA19,2015-01-01,10.9,100.0,-6.437768240343347,0.19036168720568852
EA19,2016-01-01,10.04167,100.23,-7.874587155963307,0.23000000000000398
EA19,2017-01-01,9.083333,101.78,-9.543601811252513,1.546443180684423
EA19,2018-01-01,8.2,103.56,-9.724767329349264,1.7488701120062893
